t_min,O_A,O_B,O_C,O_static_A,O_static_B,O_static_C
0,0.500,0.545,0.620,0.500,0.545,0.620
5,0.500,0.545,0.620,0.500,0.545,0.620
10,0.500,0.545,0.620,0.500,0.545,0.620
15,0.500,0.545,0.620,0.500,0.545,0.620
20,0.500,0.545,0.620,0.500,0.545,0.620
25,0.500,0.545,0.620,0.500,0.545,0.620
30,0.500,0.545,0.620,0.500,0.545,0.620
35,0.500,0.545,0.620,0.500,0.545,0.620
40,0.500,0.545,0.620,0.500,0.545,0.620
45,0.500,0.545,0.620,0.500,0.545,0.620
50,0.500,0.545,0.620,0.500,0.545,0.620
55,0.500,0.545,0.620,0.500,0.545,0.620
60,0.500,0.545,0.620,0.500,0.545,0.620
65,0.500,0.545,0.620,0.500,0.545,0.620
70,0.350,0.395,0.545,0.350,0.395,0.545
75,0.350,0.395,0.395,0.350,0.395,0.395
80,0.150,0.295,0.295,0.150,0.295,0.295
85,0.150,0.295,0.295,0.150,0.395,0.395
90,0.050,0.245,0.345,0.050,0.345,0.345
95,0.050,0.245,0.465,0.050,0.345,0.465
100,0.050,0.245,0.465,0.050,0.345,0.680
105,0.050,0.100,0.445,0.050,0.100,0.660
110,0.050,0.100,0.325,0.050,0.100,0.405
115,0.050,0.050,0.275,0.050,0.050,0.355
120,0.350,0.485,0.665,0.350,0.485,0.665
125,0.350,0.485,0.665,0.350,0.485,0.665
130,0.350,0.485,0.665,0.350,0.485,0.665
135,0.350,0.485,0.665,0.350,0.485,0.665
140,0.350,0.485,0.710,0.350,0.485,0.710
145,0.350,0.485,0.710,0.350,0.485,0.710
150,0.350,0.485,0.710,0.350,0.485,0.710
155,0.350,0.485,0.710,0.350,0.485,0.710
160,0.350,0.485,0.630,0.350,0.485,0.630
165,0.350,0.485,0.630,0.350,0.485,0.630
170,0.350,0.485,0.630,0.350,0.485,0.630
175,0.350,0.485,0.630,0.350,0.485,0.630
180,0.350,0.485,0.585,0.350,0.485,0.585
