metric,A,B,C
"mean O, normal regime (0-55 min)",0.50,0.55,0.62
"mean O, accident interval (60-115 min)",0.19,0.29,0.42
"mean O, after recovery (120-180 min)",0.35,0.49,0.66
minimum O(t),0.05,0.05,0.28
"detection delay Z1 (spill at 60 min), min",n/d,60,<=5
"detection delay Z2 (spill at 75 min), min",n/d,n/d,20
"detection delay Z3 (spill at 90 min), min",<=5,<=5,<=5
"detection delay Z5 (spill at 75 min), min",n/d,n/d,45
"detection delay Z6 (spill at 90 min), min",30,30,<=5
"detection delay Z9 (spill at 90 min), min",n/d,n/d,n/d
